Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.27     0.00     1622     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<std::pair<unsigned long long, int> > >::__maxsize_helper<std::allocator<std::pair<unsigned long long, int> > const>::value, unsigned long>::type std::allocator_traits<std::allocator<std::pair<unsigned long long, int> > >::_S_max_size<std::allocator<std::pair<unsigned long long, int> > const>(std::allocator<std::pair<unsigned long long, int> > const&)
  0.00      0.27     0.00     1622     0.00     0.00  std::allocator_traits<std::allocator<std::pair<unsigned long long, int> > >::max_size(std::allocator<std::pair<unsigned long long, int> > const&)
  0.00      0.27     0.00     1622     0.00     0.00  std::move_iterator<std::pair<unsigned long long, int>*> std::__make_move_if_noexcept_iterator<std::pair<unsigned long long, int>*, std::move_iterator<std::pair<unsigned long long, int>*> >(std::pair<unsigned long long, int>*)
  0.00      0.27     0.00     1430     0.00     0.00  std::_Head_base<0ul, unsigned long long const&, false>::_M_head(std::_Head_base<0ul, unsigned long long const&, false>&)
  0.00      0.27     0.00     1430     0.00     0.00  std::_Head_base<0ul, unsigned long long const&, false>::_Head_base(unsigned long long const&)
  0.00      0.27     0.00     1430     0.00     0.00  std::_Tuple_impl<0ul, unsigned long long const&>::_M_head(std::_Tuple_impl<0ul, unsigned long long const&>&)
  0.00      0.27     0.00     1430     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_M_get_Node_allocator()
  0.00      0.27     0.00     1430     0.00     0.00  unsigned long long const& std::forward<unsigned long long const&>(std::remove_reference<unsigned long long const&>::type&)
  0.00      0.27     0.00     1184     0.00     0.00  std::pair<std::shared_ptr<Node>, int>::pair<std::shared_ptr<Node>&, int, void>(std::shared_ptr<Node>&, int&&)
  0.00      0.27     0.00     1184     0.00     0.00  std::pair<std::__decay_and_strip<std::shared_ptr<Node>&>::__type, std::__decay_and_strip<int>::__type> std::make_pair<std::shared_ptr<Node>&, int>(std::shared_ptr<Node>&, int&&)
  0.00      0.27     0.00     1060     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.27     0.00     1003     0.00     0.00  std::remove_reference<std::pair<unsigned long long, int>&>::type&& std::move<std::pair<unsigned long long, int>&>(std::pair<unsigned long long, int>&)
  0.00      0.27     0.00      965     0.00     0.00  bool std::operator==<std::pair<unsigned long long, int>*>(std::move_iterator<std::pair<unsigned long long, int>*> const&, std::move_iterator<std::pair<unsigned long long, int>*> const&)
  0.00      0.27     0.00      965     0.00     0.00  bool std::operator!=<std::pair<unsigned long long, int>*>(std::move_iterator<std::pair<unsigned long long, int>*> const&, std::move_iterator<std::pair<unsigned long long, int>*> const&)
